 N				h				trapezio			simpson			bode
   4.0000000000000000       0.25000000000000000        1.1324592459669991E-003   2.3853564681264317E-006   1.0247067361301987E-008
   8.0000000000000000       0.12500000000000000        2.8300311095286190E-004   1.4893405186899855E-007   1.6077589259921865E-010
   16.000000000000000        6.2500000000000000E-002   7.0743798222749898E-005   9.3060206207695728E-009   2.5148216842296733E-012
   32.000000000000000        3.1250000000000000E-002   1.7685513363674410E-005   5.8158927673801486E-010   3.9468428525424315E-014
   64.000000000000000        1.5625000000000000E-002   4.4213510794754995E-006   3.6348590803925163E-011   7.2164496600635175E-016
   128.00000000000000        7.8125000000000000E-003   1.1053360661761324E-006   2.2716273306855328E-012   2.2204460492503131E-016
   256.00000000000000        3.9062500000000000E-003   2.7633391025405629E-007   1.4183099139586375E-013   1.6653345369377348E-016
   512.00000000000000        1.9531250000000000E-003   6.9083470888298137E-008   8.7152507433074788E-015   0.0000000000000000     
   1024.0000000000000        9.7656250000000000E-004   1.7270867347374264E-008   3.3306690738754696E-016   5.5511151231257827E-017
   2048.0000000000000        4.8828125000000000E-004   4.3177166841879000E-009   1.6653345369377348E-016   1.6653345369377348E-016
   4096.0000000000000        2.4414062500000000E-004   1.0794291571691872E-009   5.5511151231257827E-017   2.2204460492503131E-016
