mercurio 10.21017 1.09726
venus  7.3559  0.95715
Terra 6.283185 1
Marte 5.0800 0.97953
Jupiter 2.75485 0.99780
Saturno 2.075 1.022
Urano 1.435 1.002
Netuno 1.145 0.99472
Plutao 0.998 0.99187
